selection_order,building_id,image_name,class6_npz_path,class6_valid_pixels_n,class6_outer_edge_masked_pixels_n,class2_npz_path,class2_valid_pixels_n,class2_outer_edge_masked_pixels_n,combined_depth_path,combined_normal_path,combined_valid_mask_path,photo_support_mask_path,photo_support_valid_pixels_n,combined_valid_pixels_n,combined_class6_pixels_n,combined_class2_pixels_n,pose_sha256
21,DEBY_LOD2_42364609,DJI_20241217095123_0068_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095123_0068_D.JPG.npz,1,30,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095123_0068_D.JPG.npz,255,976,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095123_0068_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095123_0068_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095123_0068_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095123_0068_D.npy,59,256,1,255,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
22,DEBY_LOD2_42364609,DJI_20241217095013_0033_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095013_0033_D.JPG.npz,0,43,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095013_0033_D.JPG.npz,350,969,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095013_0033_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095013_0033_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095013_0033_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095013_0033_D.npy,82,350,0,350,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
23,DEBY_LOD2_42364609,DJI_20241217101453_0037_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217101453_0037_D.JPG.npz,6,58,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217101453_0037_D.JPG.npz,570,1511,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217101453_0037_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217101453_0037_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217101453_0037_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217101453_0037_D.npy,75,576,6,570,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
24,DEBY_LOD2_42364609,DJI_20241217095145_0079_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095145_0079_D.JPG.npz,0,26,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095145_0079_D.JPG.npz,296,888,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095145_0079_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095145_0079_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095145_0079_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095145_0079_D.npy,58,296,0,296,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
25,DEBY_LOD2_42364609,DJI_20241217095011_0032_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095011_0032_D.JPG.npz,0,43,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095011_0032_D.JPG.npz,424,916,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095011_0032_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095011_0032_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095011_0032_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095011_0032_D.npy,61,424,0,424,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
26,DEBY_LOD2_42364609,DJI_20241217101341_0023_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217101341_0023_D.JPG.npz,0,46,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217101341_0023_D.JPG.npz,425,980,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217101341_0023_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217101341_0023_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217101341_0023_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217101341_0023_D.npy,62,425,0,425,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
27,DEBY_LOD2_42364609,DJI_20241217095143_0078_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095143_0078_D.JPG.npz,0,30,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095143_0078_D.JPG.npz,310,888,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095143_0078_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095143_0078_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095143_0078_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095143_0078_D.npy,58,310,0,310,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
28,DEBY_LOD2_42364609,DJI_20241217095103_0058_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095103_0058_D.JPG.npz,1,47,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095103_0058_D.JPG.npz,504,1232,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095103_0058_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095103_0058_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095103_0058_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095103_0058_D.npy,88,505,1,504,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
29,DEBY_LOD2_42364609,DJI_20241217101542_0008_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217101542_0008_D.JPG.npz,0,46,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217101542_0008_D.JPG.npz,345,989,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217101542_0008_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217101542_0008_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217101542_0008_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217101542_0008_D.npy,58,345,0,345,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
30,DEBY_LOD2_42364609,DJI_20241217095147_0080_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095147_0080_D.JPG.npz,0,26,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095147_0080_D.JPG.npz,361,840,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095147_0080_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095147_0080_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095147_0080_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095147_0080_D.npy,58,361,0,361,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
